"sim_year","site","year","md","ave30moistureMeasure","ave30_60moistureMeasure","ave60_100moistureMeasure","totalSoilMoistureMeasure","ID_sim","DOY","Rain","Irri","bulk_density","porosity","TW0_30","TW30_60","TW60_100","allTWsim","topPorosity"
2001,1,2001,"04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1,2001,"05-10",NA,NA,NA,NA,1,130,0,0,1.1,0.58,8.13,12.36,16.48,36.97,0.58
2001,1,2001,"05-10",NA,NA,NA,NA,2,130,0,0,1.1,0.58,8.13,12.36,16.48,36.97,0.58
2001,1,2001,"05-10",NA,NA,NA,NA,3,130,0,0,1.1,0.58,8.13,12.36,16.48,36.97,0.58
2001,1,2001,"05-10",NA,NA,NA,NA,36,130,0,0,1.15,0.56,7.8,11.94,15.92,35.66,0.57
2001,1,2001,"05-10",NA,NA,NA,NA,67,130,0,0,1.2,0.54,7.5,11.52,15.36,34.38,0.55
2001,1,2001,"05-10",NA,NA,NA,NA,68,130,0,0,1.2,0.54,7.5,11.52,15.36,34.38,0.55
2001,1,2001,"05-10",NA,NA,NA,NA,69,130,0,0,1.2,0.54,7.5,11.52,15.36,34.38,0.55
2001,1,2001,"05-10",NA,NA,NA,NA,34,130,0,0,1.15,0.56,7.8,11.94,15.92,35.66,0.57
2001,1,2001,"05-10",NA,NA,NA,NA,35,130,0,0,1.15,0.56,7.8,11.94,15.92,35.66,0.57
2001,1,2001,"05-11",NA,NA,NA,NA,3,131,0,0,1.1,0.58,7.77,12.36,16.48,36.61,0.58
2001,1,2001,"05-11",NA,NA,NA,NA,36,131,0,0,1.15,0.56,7.44,11.94,15.92,35.3,0.57
2001,1,2001,"05-11",NA,NA,NA,NA,69,131,0,0,1.2,0.54,7.14,11.52,15.36,34.02,0.55
2001,1,2001,"05-11",NA,NA,NA,NA,2,131,0,0,1.1,0.58,7.77,12.36,16.48,36.61,0.58
2001,1,2001,"05-11",NA,NA,NA,NA,35,131,0,0,1.15,0.56,7.44,11.94,15.92,35.3,0.57
2001,1,2001,"05-11",NA,NA,NA,NA,1,131,0,0,1.1,0.58,7.77,12.36,16.48,36.61,0.58
2001,1,2001,"05-11",NA,NA,NA,NA,68,131,0,0,1.2,0.54,7.14,11.52,15.36,34.02,0.55
2001,1,2001,"05-11",NA,NA,NA,NA,67,131,0,0,1.2,0.54,7.14,11.52,15.36,34.02,0.55
2001,1,2001,"05-11",NA,NA,NA,NA,34,131,0,0,1.15,0.56,7.44,11.94,15.92,35.3,0.57
2001,1,2001,"05-12",NA,NA,NA,NA,35,132,1,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
2001,1,2001,"05-12",NA,NA,NA,NA,36,132,1,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
2001,1,2001,"05-12",NA,NA,NA,NA,2,132,1,0,1.1,0.58,7.65,12.36,16.48,36.49,0.58
2001,1,2001,"05-12",NA,NA,NA,NA,3,132,1,0,1.1,0.58,7.65,12.36,16.48,36.49,0.58
2001,1,2001,"05-12",NA,NA,NA,NA,67,132,1,0,1.2,0.54,7.02,11.52,15.36,33.9,0.55
2001,1,2001,"05-12",NA,NA,NA,NA,34,132,1,0,1.15,0.56,7.32,11.94,15.92,35.18,0.57
2001,1,2001,"05-12",NA,NA,NA,NA,69,132,1,0,1.2,0.54,7.02,11.52,15.36,33.9,0.55
2001,1,2001,"05-12",NA,NA,NA,NA,68,132,1,0,1.2,0.54,7.02,11.52,15.36,33.9,0.55
2001,1,2001,"05-12",NA,NA,NA,NA,1,132,1,0,1.1,0.58,7.65,12.36,16.48,36.49,0.58
2001,1,2001,"05-13",NA,NA,NA,NA,36,133,0,0,1.15,0.56,6.93,11.94,15.92,34.79,0.57
2001,1,2001,"05-13",NA,NA,NA,NA,34,133,0,0,1.15,0.56,6.93,11.94,15.92,34.79,0.57
2001,1,2001,"05-13",NA,NA,NA,NA,3,133,0,0,1.1,0.58,7.23,12.36,16.48,36.07,0.58
2001,1,2001,"05-13",NA,NA,NA,NA,35,133,0,0,1.15,0.56,6.93,11.94,15.92,34.79,0.57
2001,1,2001,"05-13",NA,NA,NA,NA,1,133,0,0,1.1,0.58,7.23,12.36,16.48,36.07,0.58
2001,1,2001,"05-13",NA,NA,NA,NA,69,133,0,0,1.2,0.54,6.66,11.52,15.36,33.54,0.55
2001,1,2001,"05-13",NA,NA,NA,NA,2,133,0,0,1.1,0.58,7.23,12.36,16.48,36.07,0.58
2001,1,2001,"05-13",NA,NA,NA,NA,67,133,0,0,1.2,0.54,6.66,11.52,15.36,33.54,0.55
2001,1,2001,"05-13",NA,NA,NA,NA,68,133,0,0,1.2,0.54,6.66,11.52,15.36,33.54,0.55
2001,1,2001,"05-14",NA,NA,NA,NA,35,134,0,0,1.15,0.56,6.63,11.94,15.92,34.49,0.57
2001,1,2001,"05-14",NA,NA,NA,NA,2,134,0,0,1.1,0.58,6.9,12.36,16.48,35.74,0.58
2001,1,2001,"05-14",NA,NA,NA,NA,67,134,0,0,1.2,0.54,6.33,11.52,15.36,33.21,0.55
2001,1,2001,"05-14",NA,NA,NA,NA,34,134,0,0,1.15,0.56,6.63,11.94,15.92,34.49,0.57
2001,1,2001,"05-14",NA,NA,NA,NA,36,134,0,0,1.15,0.56,6.63,11.94,15.92,34.49,0.57
2001,1,2001,"05-14",NA,NA,NA,NA,1,134,0,0,1.1,0.58,6.9,12.36,16.48,35.74,0.58
2001,1,2001,"05-14",NA,NA,NA,NA,69,134,0,0,1.2,0.54,6.33,11.52,15.36,33.21,0.55
2001,1,2001,"05-14",NA,NA,NA,NA,3,134,0,0,1.1,0.58,6.9,12.36,16.48,35.74,0.58
2001,1,2001,"05-14",NA,NA,NA,NA,68,134,0,0,1.2,0.54,6.33,11.52,15.36,33.21,0.55
2001,1,2001,"05-15",NA,NA,NA,NA,36,135,0,0,1.15,0.56,6.42,11.94,15.92,34.28,0.57
2001,1,2001,"05-15",NA,NA,NA,NA,3,135,0,0,1.1,0.58,6.69,12.36,16.48,35.53,0.58
2001,1,2001,"05-15",NA,NA,NA,NA,35,135,0,0,1.15,0.56,6.42,11.94,15.92,34.28,0.57
2001,1,2001,"05-15",NA,NA,NA,NA,34,135,0,0,1.15,0.56,6.42,11.94,15.92,34.28,0.57
2001,1,2001,"05-15",NA,NA,NA,NA,69,135,0,0,1.2,0.54,6.15,11.52,15.36,33.03,0.55
2001,1,2001,"05-15",NA,NA,NA,NA,2,135,0,0,1.1,0.58,6.69,12.36,16.48,35.53,0.58
2001,1,2001,"05-15",NA,NA,NA,NA,1,135,0,0,1.1,0.58,6.69,12.36,16.48,35.53,0.58
2001,1,2001,"05-15",NA,NA,NA,NA,68,135,0,0,1.2,0.54,6.15,11.52,15.36,33.03,0.55
2001,1,2001,"05-15",NA,NA,NA,NA,67,135,0,0,1.2,0.54,6.15,11.52,15.36,33.03,0.55
2001,1,2001,"05-16",NA,NA,NA,NA,35,136,0,0,1.15,0.56,6.33,11.94,15.92,34.19,0.57
2001,1,2001,"05-16",NA,NA,NA,NA,36,136,0,0,1.15,0.56,6.33,11.94,15.92,34.19,0.57
2001,1,2001,"05-16",NA,NA,NA,NA,2,136,0,0,1.1,0.58,6.57,12.36,16.48,35.41,0.58
2001,1,2001,"05-16",NA,NA,NA,NA,34,136,0,0,1.15,0.56,6.33,11.94,15.92,34.19,0.57
2001,1,2001,"05-16",NA,NA,NA,NA,69,136,0,0,1.2,0.54,6.06,11.52,15.36,32.94,0.55
2001,1,2001,"05-16",NA,NA,NA,NA,3,136,0,0,1.1,0.58,6.57,12.36,16.48,35.41,0.58
2001,1,2001,"05-16",NA,NA,NA,NA,67,136,0,0,1.2,0.54,6.06,11.52,15.36,32.94,0.55
2001,1,2001,"05-16",NA,NA,NA,NA,1,136,0,0,1.1,0.58,6.57,12.36,16.48,35.41,0.58
2001,1,2001,"05-16",NA,NA,NA,NA,68,136,0,0,1.2,0.54,6.06,11.52,15.36,32.94,0.55
2001,1,2001,"05-17",NA,NA,NA,NA,3,137,0,0,1.1,0.58,6.48,12.36,16.48,35.32,0.58
2001,1,2001,"05-17",NA,NA,NA,NA,69,137,0,0,1.2,0.54,5.94,11.52,15.36,32.82,0.55
2001,1,2001,"05-17",NA,NA,NA,NA,2,137,0,0,1.1,0.58,6.48,12.36,16.48,35.32,0.58
